Weekly_Sales,Temperature
1821139.91,90.45
1809119.7,89.64
1748000.65,77.97
1691439.52,78.85
1669299.78,75.58
1650394.44,78.14
1837553.43,69.92
1743882.19,71.67
1834680.25,64.53
1769296.25,65.87
1959707.9,55.53
1920725.15,59.33
1902762.5,62.01
2614202.3,56.36
1954952,48.74
2290549.32,41.76
2432736.52,50.13
3224369.8,46.66
1874226.52,44.57
1799520.14,46.75
1744725.48,45.99
1711769.11,51.7
1660906.14,50.5
1935299.94,55.21
2103322.68,46.98
2196688.46,43.82
1861802.7,54.63
1952555.66,58.79
1937628.26,57.11
1976082.13,63.68
1790439.16,64.01
1857480.84,66.83
2129035.91,68.43
1935869.1,68.08
1847344.45,65.69
1764133.09,67.2
1923957.09,76.73
1917520.99,73.87
2000940.67,71.27
1912791.09,78.19
1910092.37,78.38
2010216.49,78.69
1962924.3,80.56
1887733.21,81.04
1881046.12,86.32
2041507.4,84.2
1830075.13,80.17
1819666.46,83.23
1757923.88,86.37
1946104.64,90.22
1866719.96,88.55
1928016.01,84.79
1876788.15,76.91
1947083.3,82.64
1898777.07,87.65
1814806.63,75.88
1829415.67,71.09
1746470.56,79.45
1998321.04,70.27
1900745.13,60.97
1847990.41,68.08
1834458.35,69.79
461622.22,45.71
420728.96,47.93
421642.19,47.07
407204.86,52.05
415202.04,53.04
384200.69,63.08
375328.59,60.42
359949.27,57.06
423294.4,65.56
415870.28,68
354993.26,66.98
339976.65,67.87
361248.39,70.24
399323.86,73.47
384357.94,77.18
343763.17,75.81
350089.23,78.6
396968.8,78.53
355017.09,82.1
364076.85,83.52
357346.48,83.79
381151.72,82.2
349214.18,81.75
352728.78,84.32
352864.49,83.32
347955.05,82.04
402635.76,85.13
339597.38,86.74
351728.21,88.02
362134.09,86.15
366473.97,84.16
352260.97,80.84
363064.64,82.36
355626.87,76.9
358784.1,73.6
395107.35,66.99
345584.39,69.71
348895.98,71.64
348591.74,72.04
423175.56,62.94
386635.03,62.79
372545.32,57.72
565567.84,68.71
476420.77,53.76
467642.03,51.13
498159.39,52.2
605990.41,57.16
382677.76,53.2
378241.34,53.35
381061.1,44.76
350876.7,50.74
364866.24,48.71
438516.53,45.95
430526.21,43.57
432782.1,61.58
397211.19,67.4
437084.51,65.11
404753.3,61.29
392109.51,69.47
380683.67,72.94
374556.08,68.76
384075.31,72.55
366250.69,75.88
391860.04,76.91
367405.4,78.69
413042.12,69.45
386312.68,79.87
364603.13,75.79
369350.6,84.41
394507.84,84.29
391638.75,84.84
403423.34,86.96
385520.71,84.94
368962.72,85.1
395146.24,85.38
373454.33,87.14
360617.37,86.19
345381.29,88.07
409981.25,88.45
380376.85,88.88
379716.91,88.44
366367.55,87.67
375988.69,89.12
377347.49,81.72
375629.51,83.63
365248.94,80.19
368477.93,82.58
403342.4,75.54
368282.57,73.75
394976.36,69.03
389540.62,71.04
459443.22,59.31
407764.25,61.7
398838.97,63.91
556925.19,68
472511.32,54.97
468772.8,49.26
510747.62,57.95
551221.21,53.41
410553.88,48.29
398178.21,52.42
367438.62,51.86
365818.61,56.2
349518.1,58.06
424960.66,59.33
473292.47,51.65
475591.08,52.39
418925.47,60.12
469752.56,61.65
445162.05,60.71
411775.8,64
413907.25,66.53
407488.84,69.36
503232.13,73.01
420789.74,72.83
434822.13,72.05
394616.11,73.39
439913.57,79.51
431985.36,75.19
418112.76,72.38
413701.29,78.58
432268.53,81.55
446336.8,81.65
442074.79,84.66
419497.95,82.7
422965.33,86.42
411206.5,83.14
416913.1,82.28
432424.85,81.38
389427.9,84.94
419990.29,86.55
391811.6,85.85
394918.83,87.36
412449.67,83.01
408838.73,85.18
408229.73,84.99
407589.16,78.36
414392.09,72.78
389813.02,77.46
443557.65,72.74
410804.39,70.31
424513.08,73.44
405432.7,74.66
2135143.87,43.76
2188307.39,28.84
2049860.26,36.45
1925728.84,41.36
1971057.44,43.49
1894324.09,49.63
1897429.36,55.19
1762539.3,39.91
1979247.12,48.77
1818452.72,54.16
1851519.69,56.23
1802677.9,56.87
1817273.28,53.04
2000626.14,56.77
1875597.28,62.35
1903752.6,67.4
1857533.7,67.73
1903290.58,70.83
1870619.23,78.45
1929736.35,81.53
1846651.95,81.1
1881337.21,73.66
1812208.22,80.35
1898427.66,78.53
1848426.78,79.78
1796637.61,80.7
1907638.58,76.53
2007050.75,78.08
1997181.09,78.83
1848403.92,74.44
1935857.58,76.8
1865820.81,73.54
1899959.61,64.91
1810684.68,60.96
1842821.02,63.96
1951494.85,67.73
1867345.09,62.03
1927610.06,64.17
1933333,56.94
2013115.79,51.6
1999794.26,52.65
2097809.4,48.05
2789469.45,48.08
2102530.17,46.4
2302504.86,42.4
2740057.14,46.57
3526713.39,43.21
1794868.74,38.09
1862476.27,39.34
1865502.46,31.6
1886393.94,38.34
1814240.85,40.6
2119086.04,34.61
2187847.29,33.29
2316495.56,48.17
2078094.69,49
2103455.75,46.56
2039818.41,50.93
2116475.38,51.86
1944164.32,59.1
1900246.47,56.99
2074953.46,62.61
1960587.76,62.34
2220600.76,68.8
1878167.44,64.22
2063682.76,63.41
2002362.37,70.65
2015563.48,70.49
1986597.95,73.65
2065377.15,78.26
2073951.38,80.05
2141210.62,83.51
2008344.92,81.85
2051533.53,84.54
2066541.86,84.59
2049046.95,83.27
2036231.39,82.84
1989674.07,84.36
2160057.39,86.09
2105668.74,82.98
2232892.1,82.77
1988490.21,81.47
2078420.31,77.99
2093139.01,73.34
2075577.33,72.76
2031406.41,69.23
1929486.63,72.15
2166737.65,65.79
2074548.85,63.75
2207742.13,64.79
2151659.59,55.31
2281217.31,49.86
2203028.96,47.12
2243946.59,50.44
3004702.33,47.96
2180999.26,38.71
2508955.24,31.64
2771397.17,36.44
3676388.98,35.92
2007105.86,36.89
2047766.07,38.64
1941676.61,34.41
2005097.76,42.09
1928720.51,40.31
2173373.91,41.81
2374660.64,33
2427640.17,34.19
2226662.17,41.31
2206319.9,50.38
2202450.81,53.63
2214967.44,59.81
2091592.54,59.07
2089381.77,72.63
2470206.13,67.69
2105301.39,68.69
2144336.89,68.6
2064065.66,76.47
2196968.33,80.14
2127661.17,67.64
2207214.81,68.43
2154137.67,77.47
2179360.94,77.41
2245257.18,78.11
2234190.93,80.94
2197299.65,81.63
2128362.92,84.23
2224499.28,80.37
2100252.61,76.86
2175563.69,79.14
2048613.65,81.06
2174514.13,83.86
2193367.69,83.21
2283540.3,81.41
2125241.68,75.76
2081181.35,76.47
2125104.72,82.09
2117854.6,68.2
2119438.53,68.97
2027620.23,71.74
2209835.43,63.07
2133026.07,57.11
2097266.85,64.46
2149594.46,63.64
317173.1,39.7
311825.7,39.81
303447.57,41.14
270281.63,46.7
288855.71,48.89
297293.59,58.5
281706.41,55.46
273282.97,52.47
331406,63.18
328020.49,65.19
306858.69,65.3
288839.73,65.13
298697.84,67.53
333522.6,71.53
296673.77,74.79
301615.49,75.2
310013.11,79.81
337825.89,79.54
296641.91,80.7
313795.6,83.91
295257.3,83.72
305993.27,81.25
291808.87,81.14
280701.7,83.98
274742.63,83.66
268929.03,82.46
303043.02,86.1
286477.35,87.41
287205.38,87.71
288519.75,87.05
323798,84.06
306533.08,79.86
282558.65,82.28
293131.58,78.53
283178.12,71.1
290494.85,64.99
280681.2,68.11
284988.27,70.96
278031.81,70.58
325310.3,58.88
301827.36,62.37
297384.81,52.52
488362.61,66.15
344490.88,51.31
352811.53,48.27
367801.19,51.61
466010.25,55.01
298180.18,49.79
286347.26,48.3
260636.71,37.74
275313.34,45.41
279088.39,44.5
329613.2,41.67
311590.54,38.25
356622.61,58.83
294659.5,63.35
329033.66,60.35
293098.1,55.74
312177.67,64.31
294732.5,70.71
314316.55,61.5
307333.62,69.64
307913.58,72.02
328415.44,74.34
307291.56,74.75
322904.68,66.27
290930.01,77.38
299614.33,71.37
297149.69,80.14
329183.92,83.81
304984.14,83.61
304811.82,86.84
302881.64,84.76
327093.89,85.81
310804.93,86.64
283248.62,88.64
292539.73,86.97
275142.17,89.42
317738.56,91.07
289886.16,90.16
303643.84,89.35
310338.17,89.18
315645.53,90.38
321110.22,79.04
278529.71,83.55
291024.98,78.01
292315.38,81.16
309111.47,71.64
286117.72,72.36
306069.18,66.9
307035.11,69.27
353652.23,56.71
311906.7,60.71
307944.37,64.33
507900.07,61.93
376225.61,51.14
367433.77,44.12
379530.3,54.42
458562.24,50.33
349624.88,45.62
312078.71,50.21
291454.52,48.86
287523.98,54.65
295974.22,54.63
333948,57.35
349239.88,48.57
356427.98,48.25
312220.47,57.75
359206.21,60.66
347295.6,57.69
339392.54,63.55
321299.99,64.44
331318.73,67.76
402985.7,70.4
351832.03,70.56
330063.06,67.33
324839.74,68.96
360932.69,77.1
333870.52,73.45
336189.66,70.45
341994.48,78.23
359867.8,79.72
341704.59,81.02
327383.64,81.64
325041.68,80.57
329658.1,87.08
341214.43,82.35
316203.64,80.78
321205.12,81.05
306827.36,85.06
324195.17,86.91
306759.7,86.96
314014.18,87.52
320831.36,79.45
344642.01,84.25
350648.91,86.3
299800.67,76.65
307306.76,71.09
310141.68,78.33
343048.29,71.17
325345.41,66.24
313358.15,69.17
319550.77,71.7
1652635.1,40.43
1606283.86,40.57
1567138.07,43.58
1432953.21,47.1
1601348.82,49.63
1558621.36,58.82
1693058.91,56.55
1472033.38,53.74
1770333.9,64.94
1667181.82,66.15
1519846.36,65.68
1540435.99,64.11
1498080.16,68.91
1619920.04,73.68
1524059.4,74.95
1531938.44,74.8
1644470.66,78.89
1857380.09,79.44
1685652.35,81.81
1677248.24,83.89
1640681.88,84.2
1759777.25,80.34
1690317.99,80.93
1560120.8,83.75
1585240.92,83.9
1532308.78,81.37
1633241.59,86.61
1547654.98,86.83
1539930.5,87.36
1450766.12,85.71
1510925.32,82.15
1424225.44,78.78
1308537.75,81.78
1275591.84,76.49
1328468.89,70.69
1360317.9,65.21
1344580.92,68.93
1332716.53,70.97
1385323.7,70.39
1505442.15,59.9
1495536.46,62.11
1518841.45,52.99
2267452.4,65.79
1677067.24,52.3
1834737.58,48.46
2090268.95,52.24
2727575.18,55.07
1464050.02,49.14
1350441.68,47.78
1306194.55,38.37
1261253.18,46.2
1287034.7,44.98
1514999.17,40.59
1486920.17,39.38
1572117.54,59.61
1422600.43,62.86
1502617.99,60.45
1494497.39,57.71
1685375.47,65.07
1438465.81,70.83
1459276.77,62.25
1534594,70.35
1448797.02,73.17
1639358.93,74.24
1479249.9,75.27
1504651.57,65.42
1453185.65,76.95
1382783.83,72.01
1523979.11,80.83
1705506.29,84.01
1598643.65,84.49
1622150.33,87.08
1543365.9,85.51
1694551.15,87
1709373.62,88.36
1526801.24,88.93
1526506.08,88.06
1483991.05,90.22
1601584.57,91.46
1484995.38,90.49
1493544.04,89.26
1420405.41,90.07
1481618.74,91.22
1483574.38,80.21
1351407.79,84.94
1336044.75,78.49
1307551.92,82.51
1481739.2,74.1
1386520.99,71.24
1417922.37,68.53
1419445.12,69.51
1523420.38,58.54
1536176.54,61.33
1524390.07,63.89
2249811.55,62.78
1688531.34,51.18
1903385.14,43.64
2034695.56,53.27
2644633.02,49.45
1598080.52,46.8
1395339.71,50.82
1344243.17,48.33
1326255.7,55.37
1315610.66,53.95
1496305.78,57.45
1620603.92,48.58
1632616.09,49.03
1465187.71,59.17
1550385.65,60.32
1569304.4,57.89
1748010.29,62.8
1495143.62,63.71
1508933.26,67.91
1840131.19,71.6
1616394.45,71.29
1456073.24,68.64
1456221.1,71.5
1543461.12,77.66
1517075.67,72.66
1513635.64,70.5
1603793.42,78.47
1681121.38,80.39
1696619.52,80.5
1642247.48,82.1
1618272.25,81.2
1648863.46,87.35
1876359.39,82.95
1588142.26,80.27
1574361.97,81.57
1513229.16,85.78
1627274.93,87.55
1588380.73,87.04
1543049.52,87.53
1501095.49,79.03
1577439.81,83.58
1608077.01,86.33
1375166.86,76.41
1425603.65,70.81
1369131.46,77.82
1518177.71,70.84
1459396.84,65.43
1436883.99,69.68
1431426.34,72.34
496725.44,10.53
524104.92,25.9
506760.54,27.28
496083.24,24.91
491419.55,35.86
480452.1,27.25
574450.23,29.04
514731.6,23.33
561145.14,38.26
484263.25,33.79
406228.19,41.89
404751.25,43.07
373655.61,38.99
395453.83,40.07
372673.61,41.41
395195.65,46.6
442734.55,54.24
509183.22,53.63
498580.87,63.59
481144.09,52.7
553714.87,59.94
575570.77,61.31
593462.34,58
557166.35,62.19
570231.21,64.64
603547.16,66.07
643854.17,61.7
598185.4,60.13
582353.17,59.59
554309.24,57.57
532765.05,49.84
535769.32,48.5
489408.53,48.56
488008.83,47.55
448998.73,49.99
480239.88,44.13
463370.48,35.86
472450.81,36.84
465493.15,34.78
480512.44,49.44
507584.29,22.12
482528.36,25.56
835189.26,17.95
552811.62,21.88
599730.07,24.24
716388.81,20.74
1045124.88,26.04
729572.08,13.76
661163.94,10.09
547384.9,11.32
521539.46,25.4
513372.17,10.11
558027.77,-2.06
559903.13,10.24
572387.47,17.3
546690.84,17.46
551378.39,21.84
558963.83,20.7
635014.69,27.69
559061.58,25.69
513409.67,24.83
500552.16,30.64
423380.14,27.79
466594.89,31.84
410429.73,26.79
407012.47,26.54
414094.05,36.61
424670.98,36.16
457216.87,37.51
542295.37,45.77
621099.95,53.3
610991.35,48.79
640043.97,46.85
704344.21,58.54
761793.94,59.08
642748.21,54.37
688043.96,56.22
653382.62,56.66
695392.84,55.91
670670.46,54.56
645156.21,56.06
629994.47,57.6
592355.24,53.4
613135.23,45.61
558981.45,43.67
536144.81,43.67
488880.26,47.34
525866.36,40.65
501959.19,32.65
558691.43,37.49
527339.52,28.82
564536.01,23.41
556015.59,19.53
539826.56,29.53
949075.87,27.6
591907.88,20.38
653845.45,11.17
720242.19,15.2
1059715.27,12.19
815915.52,15.56
713117.66,18.67
593875.46,7.46
578002.85,27.41
541037.98,26.9
580453.32,22.2
563460.77,18.79
620908.18,27.03
603041.14,24.41
551058.13,21.64
579166.5,30.1
669205.73,37.29
615997.29,35.06
583322.2,44.99
621425.98,44.29
517420.23,41.43
457340.06,39.3
467827.75,51.49
465198.89,45.38
460397.41,48.54
468428.3,49.41
532739.77,50.6
598495.02,55.06
642963.75,63.07
666942.02,59.33
687344.68,63.69
704335.41,68.84
805642.61,64.67
694150.89,64.21
686345.69,62.87
686365.4,64.6
680954.81,61.83
675926.3,63.41
642450.4,59.66
609099.37,59.27
586467.16,60.46
597876.55,57.84
541120.2,53.66
530842.25,51.77
525545.76,50.64
505830.56,48.43
503463.93,41.43
516424.83,43.01
495543.28,42.53
1004137.09,34.14
994801.4,33.34
963960.37,39.1
847592.11,37.91
881503.95,45.64
860336.16,49.76
839911,47.26
772539.12,46.51
914500.91,60.18
916033.92,59.25
882917.12,62.66
850440.26,56.1
778672.64,61.01
916820.96,62.68
873337.84,61.35
818333.21,66.03
868041.56,74.71
958225.41,75.71
914835.86,82.21
869922.56,78.79
814919.11,81.78
852333.75,74.78
845289.77,72.49
848630.57,77.49
785515.88,78.29
787295.09,76.02
893399.77,80.37
867919.21,80.11
870676.44,79.36
888816.78,74.92
899036.47,76.14
831425.2,74.34
836707.85,75.32
773725.08,72.21
804105.49,68.7
870349.86,62.94
826546.96,62.59
836419.14,62.86
830756.76,57.93
927266.34,55.76
911538.98,54.89
885608.04,43.86
1261693.16,51.07
952766.93,42.85
1069061.63,42.47
1220579.55,45.03
1511641.09,45.67
773586.49,41.47
873065.23,35.77
809646.66,31.62
822668.23,42.06
782256.66,39.26
944594.78,24.48
996147.39,28.26
1065108.64,50.64
917317.15,51.29
935266.43,53.18
900387.29,49.14
898289.14,56.68
827968.36,59.74
878762.3,49.86
949825.83,65.62
908278.74,63.55
937473.13,65.11
855014.77,62.29
941457.34,58.92
895763.41,72.96
836049.89,65.54
857939.41,73.14
929222.16,82.05
897309.41,82.21
922048.41,84.73
864881.24,83.94
883683.35,87.26
861965.12,83.57
849925.37,84.26
829902.42,85.46
807082.19,86.46
892393.77,85.15
856796.1,86.05
895066.5,82.92
912542.82,84.69
891387.14,84.77
848358.09,69.01
870971.82,69.09
806444.29,68.72
809049.37,72.2
929976.55,67.61
863188.26,61.74
905984.49,59.97
876712.31,56.86
947815.05,49.68
917088.48,50.56
897032.19,51.72
1235163.86,49.61
986601.46,40.82
1051922.95,30.51
1118163.94,39.79
1462254.05,38.16
858572.22,36.33
872113.23,43.47
817661.76,36.46
813954.82,46.81
778178.53,45.52
927610.69,45.56
1021400.42,35.71
1096232.89,37.51
928537.54,46.33
952264.91,50.95
960115.56,49.59
921178.39,56.63
874223.25,52.9
905935.29,66.69
1046816.59,62.18
909989.45,65.19
872288.46,63.59
879448.25,70.34
937232.09,73.96
920128.89,64.96
913922.01,64.16
895157.44,76.11
921161.2,78.31
928820,74.28
916918.7,77.14
899449.65,78.85
878298.22,84.47
936205.5,81.24
890488.01,78.46
888834.07,79.94
838227.52,81.71
897076.73,85.06
930745.69,83.74
896613.19,81.21
936373.65,73.77
976137.73,75.33
932160.37,80.87
883569.38,67.21
857796.45,66.96
884724.41,71.1
976436.02,61.41
927511.99,55.03
900309.75,62.99
891671.44,64.74
549505.55,38.01
552677.48,37.08
511327.9,43.06
473773.27,43.83
507297.88,48.43
494145.8,55.76
485744.61,53.15
484946.56,51.8
545206.32,65.21
529384.31,64.95
485764.32,66.09
488683.57,61.26
491723.42,66.07
526128.61,68.58
492792.8,70.53
506274.94,71.5
558143.53,77.12
586061.46,79.65
522715.68,83.75
513073.87,82.99
509263.28,85.02
528832.54,78.55
485389.15,78.51
474030.51,82.93
462676.5,84.49
468675.19,79.83
522815.45,87.09
481897.98,86.85
499325.38,86.3
506789.66,84.01
511049.06,82.47
484835.2,77.7
463448.59,81.19
452905.22,77.15
495692.19,69.08
505069.21,65.35
454769.68,67.36
466322.76,69.99
508801.61,64.43
517869.97,58.69
520846.68,61.59
519823.3,49.96
768070.53,60.18
578164.82,49.89
618121.82,46.1
685243.2,49.7
873347.55,50.93
459770.85,45.92
490981.78,41.82
458086.69,36.43
454021.69,44.72
463561.48,43.9
544612.28,31.82
555279.02,34.13
610985.56,58.5
513107.2,59.01
542016.18,60.67
517783.5,54.75
515226.11,63.82
497488.4,68.79
520962.14,56.12
561625.92,71.4
528420.28,71.9
549502.11,72.35
532226.2,70.85
545251.1,62.2
539126,77.66
518266.9,70.49
553834.04,80.42
587004.29,85.8
550076.32,85.81
558671.14,89.15
538745.93,86.74
537064.03,89.14
535983.13,89.04
512834.04,90.45
491449.94,89.08
471449.98,91.1
554879.67,91.52
520284.79,91.63
540819.44,85.8
542663.53,88.95
544643.33,89.33
528784.86,75.65
500274.03,77.95
506743.78,74.42
508567.04,78.45
553836.98,72.62
529515.66,67.27
557075.21,65.46
548527.49,63.96
597855.07,54.46
594574.12,58.28
542414.27,58.8
814753.5,54.32
613115.21,46.84
630327.28,37.65
705557.97,47.31
905324.68,44.43
549788.36,43.41
519585.67,47.54
474964.6,42.44
480130.04,51.56
482451.21,49.38
549967.89,54.43
609736.12,44.03
658965.05,43.81
563578.79,53.67
619498.28,57.2
574955.95,54.03
550373.57,59.94
550791.32,58.79
574985.37,67.87
677885.99,68.83
578539.86,69.19
542819.03,68.04
550414.99,73.07
586289.08,78.98
592572.3,70.94
571463.93,69.52
547226,79.69
583648.59,80.26
582525.42,78.91
564606.1,82.21
562173.12,81.05
544770.7,87.18
578790.36,84.15
536537.64,82.39
513991.57,83.39
495951,86.41
533887.54,90.23
538713.47,88.66
535153.47,86.37
572887.78,77.9
576879.15,80.71
565812.29,87.93
523427.35,73.55
533756.88,69.92
516361.06,76.8
606755.3,66.61
558464.8,60.09
542009.46,68.01
549731.49,69.52
2193048.75,54.34
2176028.52,49.96
2113432.58,58.22
2006774.96,52.77
1987090.09,55.92
1941346.13,52.33
1946875.06,61.46
1893532.46,60.05
2138651.97,63.66
2041069.37,65.29
1826241.44,69.74
1829521.83,66.42
1790694.59,69.76
1921432.16,71.06
1808056.41,73.88
1847613.58,78.32
1904618.17,76.67
1931406.28,82.82
1827521.71,89.67
1837636.24,83.49
1768172.31,90.32
1845893.87,92.89
1769793.37,91.03
1828052.47,91.8
1831676.03,88.44
1832664.03,85.03
1949236.09,86.13
1962996.7,88.37
1983190.56,89.88
1727565.42,84.99
1766331.45,83.8
1720530.23,84.04
1716755.78,85.52
1655036.75,85.75
1645892.97,86.01
1772192.42,77.04
1703850.25,75.48
1740234.06,68.12
1741308.56,68.76
1832211.96,71.04
1895901.59,61.24
1949177.13,58.83
2939946.38,55.33
2251206.64,51.17
2411790.21,60.51
2811646.85,59.15
3749057.69,57.06
1707298.14,49.67
1714309.9,43.43
1710803.59,49.98
1677556.18,56.75
1715769.05,53.03
1968045.91,44.88
2115408.31,51.51
2106934.55,61.77
1967996.71,53.59
1958003.19,56.96
1933469.15,64.22
1884734.31,70.12
1815798.85,62.53
1827733.18,67.64
1870720.73,73.03
1781767.22,61.05
2004831.14,75.93
1873646.34,73.38
1841369.99,73.56
1712995.44,74.04
1720908.01,72.62
1743000.38,78.62
1792210.89,81.87
1740063.1,84.57
1817934.76,87.96
1711813.13,90.69
1751369.75,95.36
1699708.38,88.57
1775068.4,86.01
1774342.61,88.59
1745841.33,86.75
1886299.98,89.8
1917397.63,85.61
1954849.68,87.4
1728399.07,91.59
1758587.35,91.61
1670579.82,89.06
1650894.3,77.49
1685910.53,82.51
1627707.31,82.27
1788227.6,75.01
1704753.02,70.27
1745928.56,77.91
1771792.97,72.79
1904438.59,68.57
2076570.84,55.28
1869087.85,58.97
2950198.64,60.68
2068097.18,57.29
2429310.9,42.58
2555031.18,50.53
3487986.89,48.36
1930690.37,48.92
1683401.78,59.85
1711562.73,51
1675562.94,54.51
1632406,53.59
1867403.01,56.85
2218595.8,55.73
2168709.76,54.12
2039415.74,56.02
1990371.02,57.62
1917483.1,57.65
1930814.66,62.11
1837457.69,56.54
1815760.42,67.92
2163384.17,65.99
1974687.51,70.28
1777166.53,67.75
1712987.56,80.11
1821364.42,77.02
1792345.3,76.03
1795152.73,85.19
1830939.1,86.03
1767471.48,80.06
1840491.41,86.87
1811562.88,88.58
1755334.18,89.92
1707481.9,91.36
1805999.79,86.87
1765571.91,89.8
1869967.03,84.45
1817603.66,83.98
1939440.09,84.76
1880436.94,90.78
1827797.4,88.83
1764984.15,82.5
1650285.54,86.97
1708283.28,83.07
1640168.99,78.47
1671857.57,81.93
1694862.41,82.52
1758971.38,80.88
1713889.11,76.03
1734834.82,72.71
1744349.05,70.5
1528008.64,46.04
1574684.08,48.01
1503298.7,48.3
1336404.65,52.79
1426622.65,53.96
1331883.16,64.1
1364207,61.51
1245624.27,58.09
1446210.26,66.16
1470308.32,69.57
1323243.35,67.81
1283766.55,68.37
1239766.89,71.13
1312329.78,75.57
1266796.13,77.64
1271646.62,76.97
1264272.52,79.69
1396322.19,79.66
1339570.85,82.81
1336522.92,84.13
1262025.08,84.5
1302600.14,83.09
1280156.47,83.01
1290609.54,84.9
1244390.03,84.57
1250178.89,83.26
1369634.92,86.54
1384339.1,87.73
1430192.37,88.93
1311263.07,87.7
1303914.27,84.94
1231428.46,81.93
1215676.31,83.04
1170103.25,77.36
1182490.46,75.11
1293472.8,68.71
1175003.67,71.46
1169831.38,72.6
1195036,74.21
1332759.13,64.41
1281675.6,63.74
1292346.57,58.63
1757242.51,69.9
